standardized_name,earliest_filing_year,ipc_class_subclass,short_title,cluster_level1,group,n_patents,frac_patents,n_uspto,frac_uspto,n_usep,frac_usep,n_triadic,frac_triadic,n_ip5,frac_ip5,n_green,frac_green,n_basic,n_applied,frac_basic,mean_distance_to_science,mean_scope,mean_family_size,mean_backward_cites,mean_npl_cites,mean_originality,mean_radicalness,mean_forward_cites_5yr,mean_generality,frac_top10pct_forward
SEKKOU KERTIT,1994,C23F,Non-Mechanical Removal Of Metallic Material From Surfaces,Chemistry,Physical Sciences and Engineering,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
SEKKOUTI ABDELLATIF,2002,B43K,Implements For Writing Or Drawing,Fabrication,Consumer Products and Fabrication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
SEKKOUTI ABDELLATIF,2002,B43L,Articles For Writing Or Drawing (Upon),Fabrication,Consumer Products and Fabrication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2006,G05F,Systems For Regulating Electric Or Magnetic Variables,Electronics,Electronics and Telecommunication,1,0.0833333333333333,1,0.0833333333333333,0,0,0,0,0,0,1,0.0833333333333333,0.0833333333333333,0,1,2,,0,0,0,,,0,,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2006,G06F,Electric Digital Data Processing,Information,Electronics and Telecommunication,1,0.0769230769230769,1,0.0769230769230769,0,0,0,0,0,0,0,0,0.0769230769230769,0,1,2,,0,0,0,,,0,,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2006,G10H,Electrophonic Musical Instruments,Physics,Physical Sciences and Engineering,1,0.125,1,0.125,0,0,0,0,0,0,0,0,0.125,0,1,1,,0,0,0,,,0,,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2006,H02M,Apparatus For Conversion Of Dc Or Ac Input Power Into Surge Output Power,Electronics,Electronics and Telecommunication,1,0.0833333333333333,1,0.0833333333333333,0,0,0,0,0,0,1,0.0833333333333333,0.0833333333333333,0,1,2,,0,0,0,,,0,,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2006,H03F,Amplifiers,Electronics,Electronics and Telecommunication,2,0.191666666666667,2,0.191666666666667,0,0,0,0,0,0,0,0,0.191666666666667,0,1,1.34782608695652,,0,0,0,,,0.00237771739130435,0.833264205723766,0.347826086956522
SEMICONDUCTOR COMPONENTS INDUSTRIES,2006,H03K,Pulse Technique,Electronics,Electronics and Telecommunication,2,0.188034188034188,2,0.188034188034188,0,0,0,0,0,0,0,0,0.188034188034188,0,1,2,,0,0,0,,,0,,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2006,H03L,Automatic Control Of Generators Of Electronic Oscillations,Electronics,Electronics and Telecommunication,1,0.111111111111111,1,0.111111111111111,0,0,0,0,0,0,0,0,0.111111111111111,0,1,2,,0,0,0,,,0,,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2006,H03M,Code Conversion,Electronics,Electronics and Telecommunication,1,0.0769230769230769,1,0.0769230769230769,0,0,0,0,0,0,0,0,0.0769230769230769,0,1,2,,0,0,0,,,0,,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2006,H04L,Transmission Of Digital Information,Telecommunication,Electronics and Telecommunication,1,0.0769230769230769,1,0.0769230769230769,0,0,0,0,0,0,0,0,0.0769230769230769,0,1,2,,0,0,0,,,0,,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2006,H05B,Electric Heating,Electronics,Electronics and Telecommunication,1,0.0833333333333333,1,0.0833333333333333,0,0,0,0,0,0,1,0.0833333333333333,0.0833333333333333,0,1,2,,0,0,0,,,0,,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2007,G05F,Systems For Regulating Electric Or Magnetic Variables,Electronics,Electronics and Telecommunication,2,0.215909090909091,2,0.215909090909091,0,0,0,0,0,0,1,0.0909090909090909,0.215909090909091,0,1,1.42105263157895,,0,0,0,,,0.00113075657894737,0.650352550808793,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2007,H02M,Apparatus For Conversion Of Dc Or Ac Input Power Into Surge Output Power,Electronics,Electronics and Telecommunication,2,0.215909090909091,2,0.215909090909091,0,0,0,0,0,0,1,0.0909090909090909,0.215909090909091,0,1,1.42105263157895,,0,0,0,,,0.00113075657894737,0.650352550808793,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2007,H03K,Pulse Technique,Electronics,Electronics and Telecommunication,1,0.0909090909090909,1,0.0909090909090909,0,0,0,0,0,0,1,0.0909090909090909,0.0909090909090909,0,1,2,,0,0,0,,,0,,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2007,H03L,Automatic Control Of Generators Of Electronic Oscillations,Electronics,Electronics and Telecommunication,2,0.215909090909091,2,0.215909090909091,0,0,0,0,0,0,1,0.0909090909090909,0.215909090909091,0,1,1.42105263157895,,0,0,0,,,0.00113075657894737,0.650352550808793,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2008,G05F,Systems For Regulating Electric Or Magnetic Variables,Electronics,Electronics and Telecommunication,1,0.0714285714285714,1,0.0714285714285714,0,0,0,0,0,0,0,0,0.0714285714285714,0,1,2,,0,0,0,,,0.001953125,0.731646619659892,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2008,H02J,Systems For Supplying Or Distributing Electric Power,Electronics,Electronics and Telecommunication,1,0.0714285714285714,1,0.0714285714285714,0,0,0,0,0,0,0,0,0.0714285714285714,0,1,2,,0,0,0,,,0.001953125,0.731646619659892,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2008,H02M,Apparatus For Conversion Of Dc Or Ac Input Power Into Surge Output Power,Electronics,Electronics and Telecommunication,1,0.0714285714285714,1,0.0714285714285714,0,0,0,0,0,0,0,0,0.0714285714285714,0,1,2,,0,0,0,,,0.001953125,0.731646619659892,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2008,H03C,Modulation,Telecommunication,Electronics and Telecommunication,1,0.0714285714285714,1,0.0714285714285714,0,0,0,0,0,0,0,0,0.0714285714285714,0,1,2,,0,0,0,,,0.001953125,0.731646619659892,0
SEMICONDUCTOR COMPONENTS INDUSTRIES,2008,H03K,Pulse Technique,Electronics,Electronics and Telecommunication,1,0.0714285714285714,1,0.0714285714285714,0,0,0,0,0,0,0,0,0.0714285714285714,0,1,2,,0,0,0,,,0.001953125,0.731646619659892,0
SEMICONDUCTOR TECH INSTRUMETNS INC,2000,G01N,Analysing Chemical Or Physical Properties Of Materials,Information,Electronics and Telecommunication,1,0.125,1,0.125,0,0,0,0,0,0,0,0,0.125,0,1,2,,0,0,0,,,0.00390625,0.853828237933142,1
SEMICONDUCTOR TECH INSTRUMETNS INC,2000,H01L,Semiconductor Devices,Electronics,Electronics and Telecommunication,1,0.125,1,0.125,0,0,0,0,0,0,0,0,0.125,0,1,2,,0,0,0,,,0.00390625,0.853828237933142,1
SENHAJI MOHAMMED AMINE,2002,A21D,Treatment Of Flour Or Dough,Nutrition,Biotechnology and Healthcare,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
SENSORMATIC ELECTRONICS CORPORATION,2012,G05F,Systems For Regulating Electric Or Magnetic Variables,Electronics,Electronics and Telecommunication,1,0.142857142857143,1,0.142857142857143,1,0.142857142857143,0,0,0,0,0,0,0.142857142857143,0,1,2,0.333333333333333,0.105263157894737,0.0141388174807198,0.00378787878787879,0.945949480212216,0.916666666666666,0.0409556313993174,0.965584590517242,0
SENSORMATIC ELECTRONICS CORPORATION,2012,H02J,Systems For Supplying Or Distributing Electric Power,Electronics,Electronics and Telecommunication,1,0.142857142857143,1,0.142857142857143,1,0.142857142857143,0,0,0,0,0,0,0.142857142857143,0,1,2,0.333333333333333,0.105263157894737,0.0141388174807198,0.00378787878787879,0.945949480212216,0.916666666666666,0.0409556313993174,0.965584590517242,0
SEOUL NATIONAL UNIVERSITY,2009,G02F,Frequency-Changing; Non-Linear Optics,Physics,Physical Sciences and Engineering,1,0.333333333333333,1,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,1,2,,0,0,0,0.923965432581348,0.923076923076923,0.0205078125,0.87716300290336,1
SEOUL NATIONAL UNIVERSITY,2009,H01L,Semiconductor Devices,Electronics,Electronics and Telecommunication,1,0.333333333333333,1,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,1,2,,0,0,0,0.923965432581348,0.923076923076923,0.0205078125,0.87716300290336,1
SEPRACOR,2006,A61K,"Preparations For Medical, Dental, Or Toilet Purposes",Healthcare,Biotechnology and Healthcare,1,0.0112359550561798,0,0,0,0,0,0,0,0,0,0,0.0112359550561798,0,1,2,,0,0,0,0.736348186118791,0.5,0.0048828125,0.788169642600684,1
SEPRACOR,2006,A61P,Specific Therapeutic Preparations,Healthcare,Biotechnology and Healthcare,1,0.0112359550561798,0,0,0,0,0,0,0,0,0,0,0.0112359550561798,0,1,2,,0,0,0,0.736348186118791,0.5,0.0048828125,0.788169642600684,1
SEPRACOR,2006,C07D,Heterocyclic Compounds,Chemistry,Physical Sciences and Engineering,1,0.0112359550561798,0,0,0,0,0,0,0,0,0,0,0.0112359550561798,0,1,2,,0,0,0,0.736348186118791,0.5,0.0048828125,0.788169642600684,1
SEPRACOR,2007,A01N,Preservation; Pest Repellants Or Attractants,Agriculture,Biotechnology and Healthcare,1,0.0256410256410256,1,0.0256410256410256,1,0.0256410256410256,1,0.0256410256410256,1,0.0256410256410256,0,0,0.0256410256410256,0,1,1,0.222222222222222,0.261904761904762,0.0568383658969805,0.0163475011676787,0.822153657850633,0.8,0.0689655172413793,0.824922175355974,0
SEPRACOR,2007,A61K,"Preparations For Medical, Dental, Or Toilet Purposes",Healthcare,Biotechnology and Healthcare,2,0.168498168498168,1,0.0256410256410256,1,0.0256410256410256,1,0.0256410256410256,1,0.0256410256410256,0,0,0.0256410256410256,0,0.152173913043478,1,0.222222222222222,0.0398550724637681,0.00864931654954051,0.00248766322116849,0.822153657850633,0.8,0.0104947526236882,0.824922175355974,0
SEPRACOR,2007,A61P,Specific Therapeutic Preparations,Healthcare,Biotechnology and Healthcare,2,0.168498168498168,1,0.0256410256410256,1,0.0256410256410256,1,0.0256410256410256,1,0.0256410256410256,0,0,0.0256410256410256,0,0.152173913043478,1,0.222222222222222,0.0398550724637681,0.00864931654954051,0.00248766322116849,0.822153657850633,0.8,0.0104947526236882,0.824922175355974,0
SEPRACOR,2007,C07D,Heterocyclic Compounds,Chemistry,Physical Sciences and Engineering,2,0.168498168498168,1,0.0256410256410256,1,0.0256410256410256,1,0.0256410256410256,1,0.0256410256410256,0,0,0.0256410256410256,0,0.152173913043478,1,0.222222222222222,0.0398550724637681,0.00864931654954051,0.00248766322116849,0.822153657850633,0.8,0.0104947526236882,0.824922175355974,0
SEPRACOR,2008,A61K,"Preparations For Medical, Dental, Or Toilet Purposes",Healthcare,Biotechnology and Healthcare,1,0.0833333333333333,1,0.0833333333333333,0,0,0,0,0,0,0,0,0.0833333333333333,0,1,1,,0,0,0,,,0.0087890625,0.739583614547721,1
SEPRACOR,2008,A61P,Specific Therapeutic Preparations,Healthcare,Biotechnology and Healthcare,1,0.0833333333333333,1,0.0833333333333333,0,0,0,0,0,0,0,0,0.0833333333333333,0,1,1,,0,0,0,,,0.0087890625,0.739583614547721,1
SEPRACOR,2008,C07D,Heterocyclic Compounds,Chemistry,Physical Sciences and Engineering,1,0.0833333333333333,1,0.0833333333333333,0,0,0,0,0,0,0,0,0.0833333333333333,0,1,1,,0,0,0,,,0.0087890625,0.739583614547721,1
SERAIDI ABDELJALIL,2000,G05D,Systems For Controlling Or Regulating Non-Electric Variables,Information,Electronics and Telecommunication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
